"Month","Year","averagestormflow","day","date"
1,1988,7.36066308243728,"01",1988-01-01
1,1989,5.22628083491461,"01",1989-01-01
1,1990,9.24516129032258,"01",1990-01-01
1,1991,37.7285873192436,"01",1991-01-01
1,1992,3.74731182795699,"01",1992-01-01
1,1993,25.047619047619,"01",1993-01-01
1,1994,7.69354838709677,"01",1994-01-01
1,1995,51.4338081273565,"01",1995-01-01
1,1996,154.185798072895,"01",1996-01-01
1,1997,4.24232887490165,"01",1997-01-01
1,1998,56.3019969278034,"01",1998-01-01
1,1999,34.184331797235,"01",1999-01-01
1,2000,1.04301075268817,"01",2000-01-01
1,2001,1.54758064516129,"01",2001-01-01
1,2002,0.917562724014337,"01",2002-01-01
1,2003,41.5259176863181,"01",2003-01-01
1,2004,41.1289314516129,"01",2004-01-01
1,2005,105.150118248037,"01",2005-01-01
1,2006,36.1213343108504,"01",2006-01-01
1,2007,30.0629032258065,"01",2007-01-01
1,2008,8.23629032258065,"01",2008-01-01
1,2009,9.13096774193548,"01",2009-01-01
1,2010,37.2870967741936,"01",2010-01-01
1,2011,0.64908188585608,"01",2011-01-01
1,2012,24.0125218496742,"01",2012-01-01
1,2013,26.6573439053041,"01",2013-01-01
1,2014,7.07191756272402,"01",2014-01-01
1,2015,2.26451612903226,"01",2015-01-01
1,2016,18.4534023824584,"01",2016-01-01
1,2017,8.97282878411911,"01",2017-01-01
1,2018,18.914540942928,"01",2018-01-01
1,2019,54.7273492286115,"01",2019-01-01
1,2020,7.77824046920821,"01",2020-01-01
1,2021,12.8188709677419,"01",2021-01-01
2,1988,25.7241379310345,"01",1988-02-01
2,1989,9.87797619047619,"01",1989-02-01
2,1990,18.8214285714286,"01",1990-02-01
2,1991,8.41071428571429,"01",1991-02-01
2,1992,3.02403343782654,"01",1992-02-01
2,1993,1.33367346938775,"01",1993-02-01
2,1994,29.8928571428571,"01",1994-02-01
2,1995,5.37414965986395,"01",1995-02-01
2,1996,56.9302881027019,"01",1996-02-01
2,1997,31.8452380952381,"01",1997-02-01
2,1998,26.3589691558442,"01",1998-02-01
2,1999,6.76190476190476,"01",1999-02-01
2,2000,14.5625529340593,"01",2000-02-01
2,2001,3.50892857142857,"01",2001-02-01
2,2002,4.93253968253968,"01",2002-02-01
2,2003,11.7121753246753,"01",2003-02-01
2,2004,2.06655172413793,"01",2004-02-01
2,2005,33.090765685927,"01",2005-02-01
2,2006,14.49375,"01",2006-02-01
2,2007,1.76873376623377,"01",2007-02-01
2,2008,31.7668965517241,"01",2008-02-01
2,2009,13.7342857142857,"01",2009-02-01
2,2010,9.10625,"01",2010-02-01
2,2011,19.3117445054945,"01",2011-02-01
2,2012,7.69437005635114,"01",2012-02-01
2,2013,27.8494642857143,"01",2013-02-01
2,2014,11.1588515406162,"01",2014-02-01
2,2015,2.7,"01",2015-02-01
2,2016,39.8476293103448,"01",2016-02-01
2,2017,9.15151098901099,"01",2017-02-01
2,2018,122.693706293706,"01",2018-02-01
2,2019,41.7576530612245,"01",2019-02-01
2,2020,19.1294670846395,"01",2020-02-01
2,2021,6.61190476190476,"01",2021-02-01
3,1988,15.4875366568915,"01",1988-03-01
3,1989,29.0342585646412,"01",1989-03-01
3,1990,1.05865102639296,"01",1990-03-01
3,1991,38.1293079680176,"01",1991-03-01
3,1992,28.6528592375367,"01",1992-03-01
3,1993,89.1029776674938,"01",1993-03-01
3,1994,143.34229390681,"01",1994-03-01
3,1995,2.47593052109181,"01",1995-03-01
3,1996,31.9723502304147,"01",1996-03-01
3,1997,29.7096774193548,"01",1997-03-01
3,1998,62.9560117302053,"01",1998-03-01
3,1999,19.1129032258065,"01",1999-03-01
3,2000,20.3404074702886,"01",2000-03-01
3,2001,17.8694316436252,"01",2001-03-01
3,2002,30.6867383512545,"01",2002-03-01
3,2003,70.3209384164223,"01",2003-03-01
3,2004,67.9118279569892,"01",2004-03-01
3,2005,48.1954094292804,"01",2005-03-01
3,2006,1.92,"01",2006-03-01
3,2007,68.801875,"01",2007-03-01
3,2008,110.123870967742,"01",2008-03-01
3,2009,4.53301075268817,"01",2009-03-01
3,2010,62.9694623655914,"01",2010-03-01
3,2011,101.079348071284,"01",2011-03-01
3,2012,11.0224604287718,"01",2012-03-01
3,2013,9.99825268817204,"01",2013-03-01
3,2014,27.37102195717,"01",2014-03-01
3,2015,43.840971449759,"01",2015-03-01
3,2016,6.26552419354839,"01",2016-03-01
3,2017,9.08629032258065,"01",2017-03-01
3,2018,52.1453372434018,"01",2018-03-01
3,2019,34.1295314900154,"01",2019-03-01
3,2020,38.7536290322581,"01",2020-03-01
3,2021,39.1674193548387,"01",2021-03-01
4,1988,5.025,"01",1988-04-01
4,1989,22.7979328165375,"01",1989-04-01
4,1990,3.65151515151515,"01",1990-04-01
4,1991,21.2268518518519,"01",1991-04-01
4,1992,28.9396103896104,"01",1992-04-01
4,1993,250.989316239316,"01",1993-04-01
4,1994,62.3587962962963,"01",1994-04-01
4,1995,1.75185185185185,"01",1995-04-01
4,1996,17.4711111111111,"01",1996-04-01
4,1997,3.5631746031746,"01",1997-04-01
4,1998,67.4388888888889,"01",1998-04-01
4,1999,16.2071428571429,"01",1999-04-01
4,2000,34.396875,"01",2000-04-01
4,2001,19.2012605042017,"01",2001-04-01
4,2002,14.4575757575758,"01",2002-04-01
4,2003,29.6642988505747,"01",2003-04-01
4,2004,40.5111111111111,"01",2004-04-01
4,2005,45.05,"01",2005-04-01
4,2006,4.15,"01",2006-04-01
4,2007,17.6257291666667,"01",2007-04-01
4,2008,28.6653333333333,"01",2008-04-01
4,2009,16.2855555555556,"01",2009-04-01
4,2010,7.48647222222222,"01",2010-04-01
4,2011,71.8349376114082,"01",2011-04-01
4,2012,1.54892857142857,"01",2012-04-01
4,2013,16.1668055555556,"01",2013-04-01
4,2014,13.8652813852814,"01",2014-04-01
4,2015,33.8966666666667,"01",2015-04-01
4,2016,1.23102898550725,"01",2016-04-01
4,2017,25.3247222222222,"01",2017-04-01
4,2018,35.91,"01",2018-04-01
4,2019,42.1877777777778,"01",2019-04-01
4,2020,46.1870833333333,"01",2020-04-01
4,2021,8.89283333333333,"01",2021-04-01
5,1988,37.2706093189964,"01",1988-05-01
5,1989,66.7096774193548,"01",1989-05-01
5,1990,27.0554252199413,"01",1990-05-01
5,1991,7.15322580645161,"01",1991-05-01
5,1992,6.94162826420891,"01",1992-05-01
5,1993,25.1888888888889,"01",1993-05-01
5,1994,8.14435483870968,"01",1994-05-01
5,1995,5.09677419354839,"01",1995-05-01
5,1996,22.258064516129,"01",1996-05-01
5,1997,9.35591397849462,"01",1997-05-01
5,1998,40.7803379416283,"01",1998-05-01
5,1999,2.25867895545315,"01",1999-05-01
5,2000,15.8057537220844,"01",2000-05-01
5,2001,0.888994307400379,"01",2001-05-01
5,2002,60.0116027030473,"01",2002-05-01
5,2003,7.39795451736497,"01",2003-05-01
5,2004,14.3248387096774,"01",2004-05-01
5,2005,1.25268817204301,"01",2005-05-01
5,2006,1.76012544802867,"01",2006-05-01
5,2007,4.38537634408602,"01",2007-05-01
5,2008,41.3887096774194,"01",2008-05-01
5,2009,11.3505376344086,"01",2009-05-01
5,2010,8.22943548387097,"01",2010-05-01
5,2011,84.9340290955092,"01",2011-05-01
5,2012,27.6404838709677,"01",2012-05-01
5,2013,14.1858422939068,"01",2013-05-01
5,2014,48.5980938416422,"01",2014-05-01
5,2015,3.49324465856724,"01",2015-05-01
5,2016,10.2122300140252,"01",2016-05-01
5,2017,44.0774193548387,"01",2017-05-01
5,2018,28.9373748609566,"01",2018-05-01
5,2019,44.6466501240695,"01",2019-05-01
5,2020,48.7943548387097,"01",2020-05-01
5,2021,8.40241935483871,"01",2021-05-01
6,1988,3.58097643097643,"01",1988-06-01
6,1989,79.5057471264368,"01",1989-06-01
6,1990,19.8776515151515,"01",1990-06-01
6,1991,1.84074074074074,"01",1991-06-01
6,1992,3.71111111111111,"01",1992-06-01
6,1993,3.05,"01",1993-06-01
6,1994,3.98111111111111,"01",1994-06-01
6,1995,7.87037037037037,"01",1995-06-01
6,1996,24.3766666666667,"01",1996-06-01
6,1997,6.01333333333333,"01",1997-06-01
6,1998,4.68714285714286,"01",1998-06-01
6,1999,4.19666666666667,"01",1999-06-01
6,2000,7.82606837606838,"01",2000-06-01
6,2001,6.06388888888889,"01",2001-06-01
6,2002,94.5152832674572,"01",2002-06-01
6,2003,39.0503703703704,"01",2003-06-01
6,2004,4.99281818181818,"01",2004-06-01
6,2005,1.08650793650794,"01",2005-06-01
6,2006,20.0303703703704,"01",2006-06-01
6,2007,1.95266666666667,"01",2007-06-01
6,2008,6.04833333333333,"01",2008-06-01
6,2009,6.22833333333333,"01",2009-06-01
6,2010,2.68166666666667,"01",2010-06-01
6,2011,16.7411111111111,"01",2011-06-01
6,2012,9.80060606060606,"01",2012-06-01
6,2013,20.1033333333333,"01",2013-06-01
6,2014,13.6924242424242,"01",2014-06-01
6,2015,18.4483333333333,"01",2015-06-01
6,2016,2.69933333333333,"01",2016-06-01
6,2017,10.607,"01",2017-06-01
6,2018,33.2097126436782,"01",2018-06-01
6,2019,20.1541758241758,"01",2019-06-01
6,2020,16.9924074074074,"01",2020-06-01
6,2021,15.8007575757576,"01",2021-06-01
7,1988,2.69941348973607,"01",1988-07-01
7,1989,25.6480147023263,"01",1989-07-01
7,1990,16.7056451612903,"01",1990-07-01
7,1991,4.10537634408602,"01",1991-07-01
7,1992,3.66666666666667,"01",1992-07-01
7,1993,3.28494623655914,"01",1993-07-01
7,1994,7.25142314990512,"01",1994-07-01
7,1995,2.06093189964158,"01",1995-07-01
7,1996,12.2677419354839,"01",1996-07-01
7,1997,2.31317893575958,"01",1997-07-01
7,1998,3.7258064516129,"01",1998-07-01
7,1999,2.56854838709677,"01",1999-07-01
7,2000,1.56021505376344,"01",2000-07-01
7,2001,1.64516129032258,"01",2001-07-01
7,2002,5.18563049853372,"01",2002-07-01
7,2003,9.0736559139785,"01",2003-07-01
7,2004,15.8771778506124,"01",2004-07-01
7,2005,2.71612903225806,"01",2005-07-01
7,2006,8.90391129032258,"01",2006-07-01
7,2007,2.55548387096774,"01",2007-07-01
7,2008,2.22935483870968,"01",2008-07-01
7,2009,3.72096774193548,"01",2009-07-01
7,2010,4.47258064516129,"01",2010-07-01
7,2011,1.83154121863799,"01",2011-07-01
7,2012,3.85372434017595,"01",2012-07-01
7,2013,21.5067741935484,"01",2013-07-01
7,2014,11.0223083368245,"01",2014-07-01
7,2015,40.5659887798036,"01",2015-07-01
7,2016,1.31290322580645,"01",2016-07-01
7,2017,8.60322580645161,"01",2017-07-01
7,2018,52.1040322580645,"01",2018-07-01
7,2019,4.46612903225807,"01",2019-07-01
7,2020,5.42177419354839,"01",2020-07-01
7,2021,9.15797653958944,"01",2021-07-01
8,1988,10.5645161290323,"01",1988-08-01
8,1989,1.73997194950912,"01",1989-08-01
8,1990,5.47799834574028,"01",1990-08-01
8,1991,3.18064516129032,"01",1991-08-01
8,1992,5.8991935483871,"01",1992-08-01
8,1993,3.40829493087558,"01",1993-08-01
8,1994,28.4489678569375,"01",1994-08-01
8,1995,0.924242424242424,"01",1995-08-01
8,1996,4.09032258064516,"01",1996-08-01
8,1997,12.0453842557629,"01",1997-08-01
8,1998,6.47903225806452,"01",1998-08-01
8,1999,6.83467741935484,"01",1999-08-01
8,2000,5.56989247311828,"01",2000-08-01
8,2001,6.93548387096774,"01",2001-08-01
8,2002,1.95645161290323,"01",2002-08-01
8,2003,56.003605313093,"01",2003-08-01
8,2004,25.8260805397428,"01",2004-08-01
8,2005,2.68479262672811,"01",2005-08-01
8,2006,3.45638248847926,"01",2006-08-01
8,2007,7.24910394265233,"01",2007-08-01
8,2008,1.29691756272401,"01",2008-08-01
8,2009,4.17451612903226,"01",2009-08-01
8,2010,3.64645161290323,"01",2010-08-01
8,2011,6.54200716845878,"01",2011-08-01
8,2012,8.6739247311828,"01",2012-08-01
8,2013,1.09354838709677,"01",2013-08-01
8,2014,14.822367954626,"01",2014-08-01
8,2015,10.0807854137447,"01",2015-08-01
8,2016,8.82779156327543,"01",2016-08-01
8,2017,4.32258064516129,"01",2017-08-01
8,2018,84.588482216708,"01",2018-08-01
8,2019,2.59838709677419,"01",2019-08-01
8,2020,3.35898826979472,"01",2020-08-01
8,2021,11.1751612903226,"01",2021-08-01
9,1988,4.70892857142857,"01",1988-09-01
9,1989,3.45,"01",1989-09-01
9,1990,5.97606837606838,"01",1990-09-01
9,1991,5.06769230769231,"01",1991-09-01
9,1992,2.54861111111111,"01",1992-09-01
9,1993,3.98809523809524,"01",1993-09-01
9,1994,4.91515151515152,"01",1994-09-01
9,1995,2.32828282828283,"01",1995-09-01
9,1996,123.503333333333,"01",1996-09-01
9,1997,7.27272727272727,"01",1997-09-01
9,1998,1.85833333333333,"01",1998-09-01
9,1999,8.02777777777778,"01",1999-09-01
9,2000,1.625,"01",2000-09-01
9,2001,4.06333333333333,"01",2001-09-01
9,2002,4.74633333333333,"01",2002-09-01
9,2003,77.6977237851662,"01",2003-09-01
9,2004,179.559398148148,"01",2004-09-01
9,2005,1.58071428571429,"01",2005-09-01
9,2006,25.1116666666667,"01",2006-09-01
9,2007,2.28544973544974,"01",2007-09-01
9,2008,5.80305555555556,"01",2008-09-01
9,2009,2.425,"01",2009-09-01
9,2010,5.40184615384615,"01",2010-09-01
9,2011,42.3956666666667,"01",2011-09-01
9,2012,7.69444444444445,"01",2012-09-01
9,2013,2.4312380952381,"01",2013-09-01
9,2014,1.61549358974359,"01",2014-09-01
9,2015,4.59876190476191,"01",2015-09-01
9,2016,2.23361538461539,"01",2016-09-01
9,2017,1.7275,"01",2017-09-01
9,2018,108.436388888889,"01",2018-09-01
9,2019,2.90061904761905,"01",2019-09-01
9,2020,2.94708513708514,"01",2020-09-01
9,2021,95.0391666666667,"01",2021-09-01
10,1987,1.71428571428571,"01",1987-10-01
10,1988,1.19274193548387,"01",1988-10-01
10,1989,8.1405529953917,"01",1989-10-01
10,1990,48.5885515496521,"01",1990-10-01
10,1991,1.5315668202765,"01",1991-10-01
10,1992,0.766129032258064,"01",1992-10-01
10,1993,2.80645161290323,"01",1993-10-01
10,1994,0.980645161290322,"01",1994-10-01
10,1995,22.3225806451613,"01",1995-10-01
10,1996,135.367741935484,"01",1996-10-01
10,1997,1.10035842293907,"01",1997-10-01
10,1998,4.65161290322581,"01",1998-10-01
10,1999,3.71505376344086,"01",1999-10-01
10,2000,3.51943755169562,"01",2000-10-01
10,2001,2.11400606561897,"01",2001-10-01
10,2002,7.26878766394895,"01",2002-10-01
10,2003,22.8742023141655,"01",2003-10-01
10,2004,10.7748900293255,"01",2004-10-01
10,2005,8.51476426799007,"01",2005-10-01
10,2006,13.9288709677419,"01",2006-10-01
10,2007,2.21129032258065,"01",2007-10-01
10,2008,2.77854838709677,"01",2008-10-01
10,2009,23.7774193548387,"01",2009-10-01
10,2010,5.11469189412738,"01",2010-10-01
10,2011,23.5650537634409,"01",2011-10-01
10,2012,27.8380738662927,"01",2012-10-01
10,2013,4.91408602150538,"01",2013-10-01
10,2014,6.80414443366481,"01",2014-10-01
10,2015,7.79814830330959,"01",2015-10-01
10,2016,4.26344086021505,"01",2016-10-01
10,2017,28.8823429541596,"01",2017-10-01
10,2018,26.7413978494624,"01",2018-10-01
