AgencyCd,SiteNo,Time,Original Parameter,Original Direction,Original Unit,Original Value,Accuracy Unit,Accuracy Value,Depth to Water Below Land Surface in ft.,Water level in feet relative to NAVD88,Comment,Observation Method,Data Provided by,
NCDWR,Q32D1,1972-02-28T00:00:00-05:00,,,feet,40.35,feet,0.01,40.35,97.57,,tape-down,NCDWR
NCDWR,Q32D1,1972-02-29T00:00:00-05:00,,,feet,40.35,feet,0.01,40.35,97.57,,tape-down,NCDWR
NCDWR,Q32D1,1972-03-08T00:00:00-05:00,,,feet,44.44,feet,0.01,44.44,93.48,,tape-down,NCDWR
NCDWR,Q32D1,1972-04-25T00:00:00-05:00,,,feet,46.49,feet,0.01,46.49,91.43,,tape-down,NCDWR
NCDWR,Q32D1,1972-05-23T00:00:00-05:00,,,feet,43.02,feet,0.01,43.02,94.90,,tape-down,NCDWR
NCDWR,Q32D1,1972-06-23T00:00:00-05:00,,,feet,43.74,feet,0.01,43.74,94.18,,tape-down,NCDWR
NCDWR,Q32D1,1972-07-13T00:00:00-05:00,,,feet,43.85,feet,0.01,43.85,94.07,,tape-down,NCDWR
NCDWR,Q32D1,1972-08-17T00:00:00-05:00,,,feet,45.33,feet,0.01,45.33,92.59,,tape-down,NCDWR
NCDWR,Q32D1,1972-10-04T00:00:00-05:00,,,feet,43.20,feet,0.01,43.20,94.72,,tape-down,NCDWR
NCDWR,Q32D1,1972-11-14T00:00:00-05:00,,,feet,44.77,feet,0.01,44.77,93.15,,tape-down,NCDWR
NCDWR,Q32D1,1972-12-18T00:00:00-05:00,,,feet,50.40,feet,0.01,50.40,87.52,,tape-down,NCDWR
NCDWR,Q32D1,1973-01-23T00:00:00-05:00,,,feet,41.98,feet,0.01,41.98,95.94,,tape-down,NCDWR
NCDWR,Q32D1,1973-02-15T00:00:00-05:00,,,feet,41.54,feet,0.01,41.54,96.38,,tape-down,NCDWR
NCDWR,Q32D1,1973-03-30T00:00:00-05:00,,,feet,42.64,feet,0.01,42.64,95.28,,tape-down,NCDWR
NCDWR,Q32D1,1973-04-10T00:00:00-05:00,,,feet,41.48,feet,0.01,41.48,96.44,,tape-down,NCDWR
NCDWR,Q32D1,1973-05-02T00:00:00-05:00,,,feet,41.84,feet,0.01,41.84,96.08,,tape-down,NCDWR
NCDWR,Q32D1,1973-06-22T00:00:00-05:00,,,feet,44.60,feet,0.01,44.60,93.32,,tape-down,NCDWR
NCDWR,Q32D1,1973-07-12T00:00:00-05:00,,,feet,46.10,feet,0.01,46.10,91.82,,tape-down,NCDWR
NCDWR,Q32D1,1973-08-07T00:00:00-05:00,,,feet,42.79,feet,0.01,42.79,95.13,,tape-down,NCDWR
NCDWR,Q32D1,1973-09-12T00:00:00-05:00,,,feet,43.97,feet,0.01,43.97,93.95,,tape-down,NCDWR
NCDWR,Q32D1,1973-10-16T00:00:00-05:00,,,feet,44.02,feet,0.01,44.02,93.90,,tape-down,NCDWR
NCDWR,Q32D1,1973-11-19T00:00:00-05:00,,,feet,45.19,feet,0.01,45.19,92.73,,tape-down,NCDWR
NCDWR,Q32D1,1973-12-06T00:00:00-05:00,,,feet,43.54,feet,0.01,43.54,94.38,,tape-down,NCDWR
NCDWR,Q32D1,1974-01-06T00:00:00-05:00,,,feet,43.42,feet,0.01,43.42,94.50,,tape-down,NCDWR
